"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_mono_01","SF_multi_01","SF_mono_02","SF_multi_02","SF_mono_03","SF_multi_03","SF_mono_04","SF_multi_04","SF_mono_05","SF_multi_05","keeptrack_asin","dualnback_asin","lettermemory_asin","zscore_antisaccade","zscore_categoryswitch","zscore_colorshape","zscore_dualnback","zscore_keeptrack","zscore_lettermemory","zscore_stopsignal","zscore_stroop","zscore_numberletter","zscore_SF","zscore_inhibition","zscore_WM","zscore_shifting","zscore_EF"
1,"man",23,"french",16,9,"right-handed",1,443.057471264368,139.076923076923,34.4219237552571,0.916666666666667,0.964285714285714,0.916666666666667,228.740740740741,51.7261904761905,104.550933786078,1985,-405,550,1090,750,1250,1590,1595,1985,1465,1895,1415,1425,1930,1945,1.38067072344843,1.30738282468938,1.27795355506632,0.235444075596721,0.431907805460612,0.819391432259838,0.404784440082555,1.45618258783917,0.837613541811805,-0.458607685436496,0.538666495148739,1.26584092299904,0.416737462714998,0.105167628436321,0.899526856577842,0.839046720239831,0.614580401751331
2,"woman",25,"french",17,3,"right-handed",1,584.103448275862,189.736772486773,72.3854903943376,0.933333333333333,0.785714285714286,0.75,200.346153846154,10.3911111111111,266.701960784314,-270,-1460,400,540,250,-355,-270,-160,-1090,-265,-870,-875,-410,-640,-810,1.08952095285255,1.34334645746675,1.0471975511966,-1.96504408730179,-0.0119077334080322,0.474958104786324,0.714697749482393,-0.324332020769649,-0.0445683563584275,0.167285639717935,1.02821714814271,0.591048614566764,-1.34561780714634,-0.256513766480384,0.115265790784772,0.351366328648352,0.0700394509842468
3,"man",22,"french",15,8,"right-handed",1,429.310344827586,183.602809706258,91.0079900124844,0.958333333333333,0.892857142857143,0.916666666666667,210.490566037736,187.655714285714,457.957627118644,2550,-100,550,1100,1000,1500,1540,1200,1600,1700,1640,1750,1940,1600,2550,1.23732315454306,1.41066464910998,1.27795355506632,0.449915906973683,0.0418300496400388,0.306001126367188,1.29480609627038,0.579546346559658,0.837613541811805,-0.0563245822549301,-1.07121034951335,-0.204862795774783,0.858303195518393,-0.225873008264866,0.903988661547279,0.0476561267441478,0.24192392667552
4,"man",23,"french",18,6,"right-handed",1,414.752808988764,123.634738186462,101.120531400966,0.941666666666667,0.928571428571429,0.5,159.148148148148,19.24,221,3990,-100,850,990,2250,1750,1580,2200,1860,2500,2450,3000,2900,3115,3990,1.30024656381632,1.36346742528384,0.785398163397448,0.677031107088099,0.567192092490818,0.214252732103758,0.888088345563927,0.964351902838182,-1.0454293393682,1.07540086857417,0.923415623617599,0.781237552549033,1.98370966496421,0.891949199759956,0.269003636344637,0.520894125714536,0.56061565393971
5,"woman",31,"french",20,3,"right-handed",1,519.784090909091,52.8940886699507,49.7932340009771,0.875,1,0.75,206,66.9763636363637,266.822580645161,130,-1330,250,710,500,1175,-125,565,-960,1015,130,215,-420,615,65,1.5707963267949,1.23246031474537,1.0471975511966,-0.961584169268929,1.18692941604836,0.679931628972786,-0.240853422728198,2.61888800071352,-0.0445683563584275,0.0426596121486848,0.358051570888039,0.590546654413624,-1.03300489896695,-0.186957662077402,0.777822073875632,0.819135899811589,0.47000010386994
6,"man",24,"french",18,3.5,"right-handed",1,413.722222222222,-5.15581098339715,5.06871035940804,0.883333333333333,0.678571428571429,0.833333333333333,230.735849056604,18.4846153846154,371.316263632053,2270,-120,500,640,1250,1250,1240,1400,1470,2715,1630,2500,2270,2700,1320,0.968001774042632,1.24623145923122,1.15026199151093,0.693109509525842,1.6954869383475,1.08570531836254,-0.12218184724377,-1.06747762811253,0.349447756183035,-0.502585257024157,0.932361996466118,0.155695670953108,0.639474159792816,0.374295416322601,-0.280070573057754,0.978962642554384,0.357729161939744
7,"man",27,"french",15,8,"right-handed",1,440.797752808989,231.185185185185,76.8831395348837,0.958333333333333,0.928571428571429,1,212.074074074074,182.25,464.848584595128,3110,-570,900,1030,1750,2955,2130,3155,2595,3000,2965,3560,3015,4280,3110,1.30024656381632,1.41066464910998,1.5707963267949,0.270698421859568,-0.375024675745783,0.434152132207025,1.29480609627038,0.964351902838182,1.95715360966112,-0.0912293728740638,-1.00718795015863,-0.233539549717981,1.29596126696955,-0.275906300391043,1.40543720292322,-0.0581373644189132,0.357131179371089
8,"man",22,"french",17,5,"right-handed",1,461.166666666667,41.88,23.6152906692721,0.933333333333333,1,0.916666666666667,208.222222222222,75.6923076923077,116.580575317043,1175,-525,350,850,500,-515,280,120,815,-130,795,595,845,-120,1175,1.5707963267949,1.34334645746675,1.27795355506632,-0.0470813176594638,1.28342049833828,0.917437135604252,0.714697749482393,2.61888800071352,0.837613541811805,-0.00632416285963364,0.254824574119502,1.21577950970697,-0.216303676348277,0.0671396978668016,1.39039976400257,1.13887904788317,0.865472836584181
9,"man",20,"french",15,8,"right-handed",1,412.133333333333,50.1909937888198,59.825956937799,0.983333333333333,0.821428571428571,0.75,272.471698113208,57.4120879120878,156.260327868853,3310,-150,1000,960,1500,1530,2115,2330,2460,2815,2190,4250,3310,3415,2795,1.13450940007873,1.5707963267949,1.0471975511966,0.717898101630644,1.21061040849617,0.588907406259419,2.67472615268675,-0.0492069971747833,-0.0445683563584275,-1.42255600501067,0.471325755869748,1.05065202135163,1.45226772105924,-0.077777382503427,0.860316933051179,0.950056612035741,0.577532054194498
11,"woman",26,"french",17,3,"right-handed",1,549.701149425287,230.590909090909,305.689873417722,0.75,0.607142857142857,0.416666666666667,291.245283018868,84.0973913043479,446.406026365349,-1295,-2165,-200,570,500,-1080,-1605,-345,-1295,-830,-1355,-250,-1750,535,-1300,0.893378412739926,1.06200468763857,0.701674123787604,-1.42832653603822,-0.369818403558039,-1.64175041532879,-1.70973916709999,-1.52383376629883,-1.36550695792148,-1.836376481614,0.155279242794474,-0.156790751565721,-2.14668838435604,-1.03647459161925,-1.5330266304401,-0.722786523484183,-1.09742924851451
12,"woman",23,"french",17,3,"right-handed",1,446.730337078652,255.781746031746,39.4212880143114,0.9,0.857142857142857,0.833333333333333,208.518518518519,147.033816425121,502.127213114754,1620,-520,400,990,750,315,-410,1030,955,315,1240,900,1330,775,1620,1.18319964013972,1.27540813090181,1.15026199151093,0.178142918062906,-0.590507667377207,0.774033532055972,0.129245446841858,0.248556190300274,0.349447756183035,-0.0128553328607586,-0.590106238211997,-0.388674748425181,0.1314781840013,-0.14160621766995,0.242416464441722,-0.0683829612488052,0.0108090951743224
13,"man",21,"french",14,6,"right-handed",1,406.738636363636,110.814814814815,215.864980449658,0.9,0.857142857142857,0.416666666666667,237.074074074074,122.681818181818,174.090136054422,1665,-185,600,1000,250,45,1380,315,190,460,1495,465,935,130,1665,1.18319964013972,1.27540813090181,0.701674123787604,0.802061911728364,0.679503543585183,-0.826793088766811,0.129245446841858,0.248556190300274,-1.36550695792148,-0.642296841717702,-0.301694147928497,0.976453185567657,0.166647136171482,-0.0473096926392781,-0.329235106926448,0.276387880128676,-0.03338563981235
14,"man",23,"french",17,5.5,"right-handed",1,404.658536585366,65.5057471264367,45.5782392894463,0.916666666666667,0.678571428571429,0.833333333333333,195.301886792453,89.1153846153845,304.895457033388,2840,-150,800,440,1750,2500,1185,3430,1815,3680,2070,4250,2095,3680,2840,0.968001774042632,1.30738282468938,1.15026199151093,0.834513988963846,1.07644251055818,0.71817315321043,0.404784440082555,-1.06747762811253,0.349447756183035,0.27847489881611,0.0958488040516207,0.432106189235763,1.08494755394845,0.402945897277192,-0.104415143948979,0.742240617668124,0.346923790332112
