Participant,Game,TotalScore,Bonus,Flight,Fortress,Mine,Press,Type
sub-001,G01,1250,NA,NA,1250,NA,355,monotask
sub-001,G02,1590,850,-420,500,660,352,multitask
sub-001,G03,1595,NA,-155,1750,NA,339,monotask
sub-001,G04,1985,550,-405,750,1090,393,multitask
sub-001,G05,1465,NA,-35,1500,NA,397,monotask
sub-001,G06,1895,700,-545,750,990,380,multitask
sub-001,G07,1415,NA,-85,1500,NA,403,monotask
sub-001,G08,1425,600,-555,500,880,399,multitask
sub-001,G09,1930,NA,-70,2000,NA,439,monotask
sub-001,G10,1945,800,-405,750,800,401,multitask
sub-002,G01,-355,NA,-855,500,NA,298,monotask
sub-002,G02,-270,400,-1460,250,540,282,multitask
sub-002,G03,-160,NA,-660,500,NA,320,monotask
sub-002,G04,-1090,550,-2320,250,430,277,multitask
sub-002,G05,-265,NA,-765,500,NA,293,monotask
sub-002,G06,-870,400,-1860,250,340,310,multitask
sub-002,G07,-875,NA,-1125,250,NA,319,monotask
sub-002,G08,-410,50,-1330,250,620,280,multitask
sub-002,G09,-640,NA,-1140,500,NA,313,monotask
sub-002,G10,-810,350,-1650,NA,490,304,multitask
sub-003,G01,1500,NA,NA,1500,NA,350,monotask
sub-003,G02,1540,300,-220,500,960,365,multitask
sub-003,G03,1200,NA,-50,1250,NA,337,monotask
sub-003,G04,1600,550,NA,500,550,357,multitask
sub-003,G05,1700,NA,-50,1750,NA,388,monotask
sub-003,G06,1640,550,-150,500,740,368,multitask
sub-003,G07,1750,NA,NA,1750,NA,391,monotask
sub-003,G08,1940,300,-150,1000,790,362,multitask
sub-003,G09,1600,NA,-150,1750,NA,428,monotask
sub-003,G10,2550,550,-100,1000,1100,375,multitask
sub-004,G01,1750,NA,NA,1750,NA,336,monotask
sub-004,G02,1580,450,-100,500,730,389,multitask
sub-004,G03,2200,NA,-50,2250,NA,328,monotask
sub-004,G04,1860,400,-150,750,860,365,multitask
sub-004,G05,2500,NA,NA,2500,NA,355,monotask
sub-004,G06,2450,550,-100,1000,1000,339,multitask
sub-004,G07,3000,NA,NA,3000,NA,438,monotask
sub-004,G08,2900,550,-300,1750,900,454,multitask
sub-004,G09,3115,NA,-135,3250,NA,503,monotask
sub-004,G10,3990,850,-100,2250,990,501,multitask
sub-005,G01,1175,NA,-325,1500,NA,318,monotask
sub-005,G02,-125,100,-1175,750,200,329,multitask
sub-005,G03,565,NA,-685,1250,NA,340,monotask
sub-005,G04,-960,350,-2220,500,410,291,multitask
sub-005,G05,1015,NA,-485,1500,NA,296,monotask
sub-005,G06,130,250,-1330,500,710,305,multitask
sub-005,G07,215,NA,-785,1000,NA,328,monotask
sub-005,G08,-420,300,-1280,500,60,286,multitask
sub-005,G09,615,NA,-635,1250,NA,311,monotask
sub-005,G10,65,300,-1085,500,350,281,multitask
sub-006,G01,1250,NA,NA,1250,NA,349,monotask
sub-006,G02,1240,200,-350,750,640,340,multitask
sub-006,G03,1400,NA,-100,1500,NA,331,monotask
sub-006,G04,1470,250,-100,750,570,336,multitask
sub-006,G05,2715,NA,-35,2750,NA,486,monotask
sub-006,G06,1630,450,-120,750,550,391,multitask
sub-006,G07,2500,NA,NA,2500,NA,425,monotask
sub-006,G08,2270,500,-120,1250,640,378,multitask
sub-006,G09,2700,NA,-50,2750,NA,477,monotask
sub-006,G10,1320,500,-420,750,490,337,multitask
sub-007,G01,2955,NA,-295,3250,NA,526,monotask
sub-007,G02,2130,900,-660,1000,890,470,multitask
sub-007,G03,3155,NA,-345,3500,NA,545,monotask
sub-007,G04,2595,700,-335,1250,980,515,multitask
sub-007,G05,3000,NA,-500,3500,NA,672,monotask
sub-007,G06,2965,750,-525,1750,990,508,multitask
sub-007,G07,3560,NA,-440,4000,NA,634,monotask
sub-007,G08,3015,50,-185,2000,1150,524,multitask
sub-007,G09,4280,NA,-470,4750,NA,678,monotask
sub-007,G10,3110,900,-570,1750,1030,516,multitask
sub-008,G01,-515,NA,-1015,500,NA,297,monotask
sub-008,G02,280,300,-870,250,600,316,multitask
sub-008,G03,120,NA,-630,750,NA,306,monotask
sub-008,G04,815,600,-965,500,680,323,multitask
sub-008,G05,-130,NA,-880,750,NA,300,monotask
sub-008,G06,795,800,-1045,250,790,322,multitask
sub-008,G07,595,NA,-405,1000,NA,311,monotask
sub-008,G08,845,550,-645,500,440,319,multitask
sub-008,G09,-120,NA,-870,750,NA,352,monotask
sub-008,G10,1175,350,-525,500,850,329,multitask
sub-009,G01,1530,NA,-220,1750,NA,475,monotask
sub-009,G02,2115,800,-85,750,650,498,multitask
sub-009,G03,2330,NA,-170,2500,NA,578,monotask
sub-009,G04,2460,600,-100,1000,960,471,multitask
sub-009,G05,2815,NA,-185,3000,NA,536,monotask
sub-009,G06,2190,1050,-50,750,440,424,multitask
sub-009,G07,4250,NA,NA,4250,NA,562,monotask
sub-009,G08,3310,1000,-150,1500,960,503,multitask
sub-009,G09,3415,NA,-85,3500,NA,567,monotask
sub-009,G10,2795,450,-185,1500,1030,531,multitask
sub-010,G01,4250,NA,NA,4250,NA,1170,monotask
sub-010,G02,2890,100,-150,2000,940,841,multitask
sub-010,G03,5795,NA,-205,6000,NA,1201,monotask
sub-010,G04,4130,200,-200,3500,630,962,multitask
sub-010,G05,6420,NA,-580,7000,NA,1226,monotask
sub-010,G06,5300,550,-50,4000,800,908,multitask
sub-010,G07,8130,NA,-370,8500,NA,1168,monotask
sub-010,G08,4670,50,-100,4000,720,873,multitask
sub-010,G09,8160,NA,-840,9000,NA,1180,monotask
sub-010,G10,5550,700,-150,4000,1000,851,multitask
sub-011,G01,-1080,NA,-1580,500,NA,213,monotask
