"Participant","score_mean_corrected","score_med_corrected","score_mean_raw","score_med_raw","percentage_resp_correct","percentage_excluded_data"
"001",443.057471264368,440,448.322222222222,442,0.989010989010989,3.33333333333333
"002",584.103448275862,566,596.6,567.5,0.989010989010989,3.33333333333333
"003",429.310344827586,417,434.404494382022,419,0.978021978021978,2.24719101123596
"004",414.752808988764,408,417.277777777778,408.5,0.989010989010989,1.11111111111111
"005",519.784090909091,514.5,526.577777777778,517,0.989010989010989,2.22222222222223
"006",413.722222222222,408,413.722222222222,408,0.989010989010989,0
"007",440.797752808989,420,443.266666666667,420.5,0.989010989010989,1.11111111111111
"008",461.166666666667,460,461.166666666667,460,0.989010989010989,0
"009",412.133333333333,407.5,412.133333333333,407.5,0.989010989010989,0
"010",421.920454545455,419,427.944444444444,420.5,0.989010989010989,2.22222222222223
"011",549.701149425287,544,575.38202247191,546,0.978021978021978,2.24719101123596
"012",446.730337078652,444,450.666666666667,445,0.989010989010989,1.11111111111111
"013",406.738636363636,406,415.388888888889,408,0.989010989010989,2.22222222222223
"014",404.658536585366,397,414.689655172414,401,0.956043956043956,5.74712643678161
"015",540.277777777778,532,540.277777777778,532,0.989010989010989,0
"016",616.056179775281,596,626.288888888889,599.5,0.989010989010989,1.11111111111111
"017",464.267441860465,464,473.155555555556,466.5,0.989010989010989,4.44444444444444
"018",453.103448275862,453,454.931818181818,453.5,0.967032967032967,1.13636363636364
"019",493.966292134831,494,496.355555555556,495,0.989010989010989,1.11111111111111
"020",433.965517241379,427,438.52808988764,427,0.978021978021978,2.24719101123596
"021",440.730337078652,439,446.011111111111,441,0.989010989010989,1.11111111111111
"022",442.604651162791,435.5,447.910112359551,440,0.978021978021978,3.37078651685393
"023",425.701149425287,424,430.202247191011,425,0.978021978021978,2.24719101123596
"024",400.193181818182,401,400.193181818182,401,0.967032967032967,0
"025",449.471264367816,448,455.244444444444,449.5,0.989010989010989,3.33333333333333
"026",394.126436781609,387,394.126436781609,387,0.956043956043956,0
"027",402.583333333333,394,404.741176470588,394,0.934065934065934,1.17647058823529
"028",409.191011235955,411,409.191011235955,411,0.978021978021978,0
"029",562.577777777778,554.5,562.577777777778,554.5,0.989010989010989,0
"030",421.5,416,421.5,416,0.989010989010989,0
"031",458.516853932584,454,464.544444444444,454,0.989010989010989,1.11111111111111
"032",455.022471910112,455,457.266666666667,456,0.989010989010989,1.11111111111111
"033",392.835294117647,387,402.674157303371,389,0.978021978021978,4.49438202247191
"034",590.670454545455,580,601.133333333333,582,0.989010989010989,2.22222222222223
"035",495.544444444444,492,495.544444444444,492,0.989010989010989,0
"036",541.367816091954,534,548.640449438202,536,0.978021978021978,2.24719101123596
"037",613.852272727273,595.5,620.022222222222,599.5,0.989010989010989,2.22222222222223
"038",438.056179775281,433,442.511111111111,433.5,0.989010989010989,1.11111111111111
"039",502.033707865169,497,502.033707865169,497,0.978021978021978,0
"040",467.872093023256,466.5,478.755555555556,469,0.989010989010989,4.44444444444444
"041",414.842696629213,416,414.842696629213,416,0.978021978021978,0
"042",422.318181818182,420,424.752808988764,420,0.978021978021978,1.12359550561798
"043",486.72619047619,482.5,499.409090909091,488.5,0.967032967032967,4.54545454545454
"044",501.655172413793,504,509.730337078652,507,0.978021978021978,2.24719101123596
"045",484.741573033708,484,484.741573033708,484,0.978021978021978,0
"046",365.157303370787,366,366.333333333333,366,0.989010989010989,1.11111111111111
"047",446.449438202247,443,446.449438202247,443,0.978021978021978,0
"048",538.817073170732,532,563.266666666667,540,0.989010989010989,8.88888888888889
"049",414.682926829268,412,418.571428571429,414,0.923076923076923,2.38095238095238
"050",429.597701149425,427,432.640449438202,428,0.978021978021978,2.24719101123596
"051",411.941176470588,403,417.333333333333,408,0.956043956043956,2.29885057471264
"052",486.349397590361,484,500.38202247191,487,0.978021978021978,6.74157303370787
"053",409.776470588235,412,419.931034482759,412,0.956043956043956,2.29885057471264
"054",568.645569620253,557,634.666666666667,565,0.956043956043956,9.19540229885057
"055",431.058823529412,422,433.627906976744,422.5,0.945054945054945,1.16279069767442
"056",452.552941176471,442,485.76404494382,451,0.978021978021978,4.49438202247191
"057",470.418604651163,476.5,478.415730337079,477,0.978021978021978,3.37078651685393
"058",303.923076923077,309,303.923076923077,309,0.714285714285714,0
"059",557.425287356322,553,570.244444444444,560,0.989010989010989,3.33333333333333
"060",539.827586206897,540,542.625,540.5,0.967032967032967,1.13636363636364
"061",453.688888888889,452,453.688888888889,452,0.989010989010989,0
"062",504.035294117647,499,521.511111111111,500,0.989010989010989,5.55555555555556
"063",463.53488372093,468.5,468.159090909091,470,0.967032967032967,2.27272727272727
"064",507.068181818182,504.5,507.068181818182,504.5,0.967032967032967,0
"065",520.952941176471,519,524.627906976744,520,0.945054945054945,1.16279069767442
"066",410.059523809524,407.5,414.755813953488,409,0.945054945054945,2.32558139534884
"067",434.206896551724,434,438.280898876404,434,0.978021978021978,2.24719101123596
"068",425.534090909091,426.5,425.534090909091,426.5,0.967032967032967,0
"069",452.7,453.5,452.7,453.5,0.989010989010989,0
"070",431.179775280899,430,433.011111111111,430,0.989010989010989,1.11111111111111
"071",421.772727272727,426,423.966292134831,426,0.978021978021978,1.12359550561798
"072",573.518072289157,567,611.644444444444,577,0.989010989010989,7.77777777777777
"073",428.52808988764,425,428.52808988764,425,0.978021978021978,0
"074",503.089887640449,497,505.611111111111,497.5,0.989010989010989,1.11111111111111
"075",724.880952380952,652,793.488888888889,660.5,0.989010989010989,6.66666666666667
"076",443.223529411765,435,450.056818181818,437.5,0.967032967032967,3.40909090909091
"077",473.233333333333,470.5,473.233333333333,470.5,0.989010989010989,0
"078",476.944444444444,474.5,476.944444444444,474.5,0.989010989010989,0
"079",524.178571428571,511,539.466666666667,521,0.989010989010989,6.66666666666667
"080",414.195402298851,415,417.511363636364,415.5,0.967032967032967,1.13636363636364
"081",438.563218390805,434,458.622222222222,438,0.989010989010989,3.33333333333333
"082",529.906976744186,516.5,555.1,519.5,0.989010989010989,4.44444444444444
"083",508.222222222222,506.5,508.222222222222,506.5,0.989010989010989,0
"084",435.022471910112,411,440.844444444444,412.5,0.989010989010989,1.11111111111111
"085",514.101123595506,512,517.111111111111,513,0.989010989010989,1.11111111111111
"086",484.261363636364,482.5,486.38202247191,483,0.978021978021978,1.12359550561798
"087",409.724137931034,410,413.101123595506,410,0.978021978021978,2.24719101123596
"088",589.747126436782,575,594.545454545455,576,0.967032967032967,1.13636363636364
"089",534.818181818182,529,541,529.5,0.989010989010989,2.22222222222223
"090",374.02380952381,368,380.877777777778,369.5,0.989010989010989,6.66666666666667
"091",457.483146067416,452,460.288888888889,452.5,0.989010989010989,1.11111111111111
"092",395.058139534884,394,397.840909090909,394.5,0.967032967032967,2.27272727272727
"093",595.372093023256,584.5,614.455555555556,589,0.989010989010989,4.44444444444444
"094",635.7,597,711.411111111111,623.5,0.989010989010989,11.1111111111111
"095",450.425287356322,452,455.722222222222,453,0.989010989010989,3.33333333333333
"096",459.845238095238,459,484.122222222222,461.5,0.989010989010989,6.66666666666667
"097",506.761363636364,506,512.044444444444,507.5,0.989010989010989,2.22222222222223
"098",467.579545454545,465.5,476.566666666667,466,0.989010989010989,2.22222222222223
"099",441.588235294118,440,451.6,442,0.989010989010989,5.55555555555556
"100",434.295454545455,428.5,437.292134831461,430,0.978021978021978,1.12359550561798
"101",403.842696629213,405,405.266666666667,405,0.989010989010989,1.11111111111111
"102",472.921348314607,470,474.944444444444,470,0.989010989010989,1.11111111111111
"103",450.25,452.5,454.377777777778,454,0.989010989010989,2.22222222222223
"104",497.438202247191,502,501.333333333333,503,0.989010989010989,1.11111111111111
"105",677.132530120482,673,696.586206896552,675,0.956043956043956,4.59770114942529
"107",393.129411764706,395,393.129411764706,395,0.934065934065934,0
"108",468.685393258427,471,470.522222222222,471.5,0.989010989010989,1.11111111111111
"109",396.162790697674,393,399.045977011494,394,0.956043956043956,1.14942528735632
"110",371.546511627907,372,376.157303370787,375,0.978021978021978,3.37078651685393
"111",536.741573033708,526,539.466666666667,527.5,0.989010989010989,1.11111111111111
"112",423.931818181818,416.5,423.931818181818,416.5,0.967032967032967,0
"113",384.317647058824,381,386.151162790698,383,0.945054945054945,1.16279069767442
"114",433.123595505618,437,435.766666666667,437.5,0.989010989010989,1.11111111111111
"115",428.64367816092,419,435.910112359551,421,0.978021978021978,2.24719101123596
"116",461.887640449438,459,464.977777777778,460,0.989010989010989,1.11111111111111
"117",437.556818181818,435.5,438.85393258427,436,0.978021978021978,1.12359550561798
"118",454.681818181818,450,458.455555555556,450.5,0.989010989010989,2.22222222222223
"119",628.701298701299,620,719.52808988764,636,0.978021978021978,13.4831460674157
"120",415.227272727273,412.5,418.539325842697,413,0.978021978021978,1.12359550561798
"121",410.093023255814,406.5,413.436781609195,409,0.956043956043956,1.14942528735632
"122",394.258426966292,391,394.258426966292,391,0.978021978021978,0
"123",408.704545454545,408,408.704545454545,408,0.967032967032967,0
"124",507.081395348837,502.5,518.685393258427,507,0.978021978021978,3.37078651685393
"125",453.670454545455,451,461.233333333333,451.5,0.989010989010989,2.22222222222223
"126",430.476744186047,435,435.852272727273,436,0.967032967032967,2.27272727272727
"127",443.903614457831,437,446.27380952381,442.5,0.923076923076923,1.19047619047619
"128",378.151162790698,370.5,378.151162790698,370.5,0.945054945054945,0
"129",444.46511627907,447.5,451.134831460674,450,0.978021978021978,3.37078651685393
"130",428.488636363636,423,430.23595505618,423,0.978021978021978,1.12359550561798
"131",524.707865168539,528,532.188888888889,529,0.989010989010989,1.11111111111111
"132",502.825581395349,484,517.191011235955,486,0.978021978021978,3.37078651685393
"133",420.267441860465,417.5,427.134831460674,419,0.978021978021978,3.37078651685393
"134",382.528735632184,379,382.528735632184,379,0.956043956043956,0
"135",564.488636363636,561.5,573.577777777778,563,0.989010989010989,2.22222222222223
"136",424.852272727273,422,424.852272727273,422,0.967032967032967,0
"137",444.215909090909,444,444.215909090909,444,0.967032967032967,0
"138",419.844444444444,422.5,419.844444444444,422.5,0.989010989010989,0
"139",396.25,398,402.295454545455,400.5,0.967032967032967,4.54545454545454
"140",399.795454545455,392,402,393,0.978021978021978,1.12359550561798
"141",614.53164556962,597,655.340909090909,605.5,0.967032967032967,10.2272727272727
"142",436.314606741573,433,440.811111111111,433.5,0.989010989010989,1.11111111111111
"143",536.816091954023,547,536.816091954023,547,0.956043956043956,0
"144",513.530120481928,488,540.1,495,0.989010989010989,7.77777777777777
"145",463.941176470588,467,467.93023255814,467.5,0.945054945054945,1.16279069767442
"146",425.022988505747,420,430.191011235955,421,0.978021978021978,2.24719101123596
"147",394.516853932584,396,394.516853932584,396,0.978021978021978,0
"148",417.697674418605,419.5,417.697674418605,419.5,0.945054945054945,0
"149",506.37037037037,494,559.329411764706,497,0.934065934065934,4.70588235294118
"150",375.047058823529,372,376.732558139535,372.5,0.945054945054945,1.16279069767442
"151",435.566666666667,431.5,435.566666666667,431.5,0.989010989010989,0
"152",474.795454545455,473,474.795454545455,473,0.967032967032967,0
"153",361.117647058824,362,363.965517241379,363,0.956043956043956,2.29885057471264
"154",438.136363636364,441,441.505617977528,441,0.978021978021978,1.12359550561798
"155",698.75,698,725.011111111111,699,0.989010989010989,2.22222222222223
