"Participant","switchCost","mean_latency_switch","mean_latency_noswitch","percentage_resp_correct","percentage_excluded_data"
"001",34.4219237552571,419.839506172839,385.417582417582,0.96,8.33333333333334
"002",72.3854903943376,580.244186046512,507.858695652174,0.97,7.21649484536082
"003",91.0079900124844,709.288888888889,618.280898876405,0.96,5.20833333333334
"004",101.120531400966,616.044444444444,514.923913043478,0.965,4.14507772020726
"005",49.7932340009771,533.325842696629,483.532608695652,0.965,4.66321243523317
"006",5.06871035940804,441.023255813953,435.954545454545,0.925,4.32432432432432
"007",76.8831395348837,505.825,428.941860465116,0.96,12.5
"008",23.6152906692721,400.413043478261,376.797752808989,0.97,4.63917525773195
"009",59.825956937799,438.973684210526,379.147727272727,0.915,9.2896174863388
"010",173.609356725146,750.977777777778,577.368421052632,0.97,3.09278350515464
"011",305.689873417722,1206.18987341772,900.5,0.925,8.1081081081081
"012",39.4212880143114,763.267441860465,723.846153846154,0.955,6.282722513089
"013",215.864980449658,916.488636363636,700.623655913978,0.935,1.06951871657754
"014",45.5782392894463,726.693181818182,681.114942528736,0.935,4.81283422459893
"015",52.8206851971559,885.447058823529,832.626373626374,0.945,5.82010582010582
"016",155.590081363812,821.758620689655,666.168539325843,0.95,5.26315789473685
"017",-9.88166144200625,586.413793103448,596.295454545455,0.96,6.77083333333334
"018",38.7519415967692,379.878378378378,341.126436781609,0.915,10.9289617486339
"019",217.741935483871,1380.04301075269,1162.30107526882,0.97,2.0618556701031
"020",44.9178571428571,631.525,586.607142857143,0.965,12.9533678756477
"021",23.5475177304965,551.366666666667,527.81914893617,0.98,4.59183673469388
"022",87.6684995112414,550.034090909091,462.365591397849,0.97,4.63917525773195
"023",109.282051282051,789.282051282051,680,0.633333333333333,3.1578947368421
"024",231.167593622544,804.597701149425,573.430107526882,0.965,4.66321243523317
"025",161.929198966408,774.406976744186,612.477777777778,0.955,5.75916230366492
"026",184.649419729207,1252.34090909091,1067.6914893617,0.945,1.58730158730159
"027",166.902760438341,729.543209876543,562.640449438202,0.905,3.86740331491713
"028",255.556012658228,805.075,549.518987341772,0.89,8.42696629213483
"029",262.103995006242,1295.74444444444,1033.6404494382,0.97,5.67010309278351
"030",74.9080459770115,1025.57471264368,950.666666666667,0.96,4.16666666666666
"031",129.750889192886,848.576470588235,718.825581395349,0.915,4.37158469945356
"032",274.364423552697,991.406976744186,717.042553191489,0.945,2.64550264550265
"033",80.9430641821946,601.095238095238,520.152173913043,0.955,5.75916230366492
"034",505.87314115763,1570.0752688172,1064.20212765957,0.955,1.04712041884817
"035",240.09045691151,861.648351648352,621.557894736842,0.97,2.0618556701031
"036",117.273277074543,884.417721518987,767.144444444444,0.945,8.994708994709
"037",77.7681922196797,883.442105263158,805.673913043478,0.965,1.03626943005182
"038",236.547462223944,769.862068965517,533.314606741573,0.92,3.26086956521739
"039",35.3199952221692,492.880434782609,457.56043956044,0.965,3.62694300518135
"040",424.391390400792,939.348837209302,514.957446808511,0.96,4.16666666666666
"041",20.2285107446277,650.804597701149,630.576086956522,0.965,5.18134715025906
"042",148.858695652174,956.076086956522,807.217391304348,0.97,3.09278350515464
"043",11.6929400386847,991.022727272727,979.329787234043,0.975,4.61538461538461
"044",91.9587589376915,701.629213483146,609.670454545455,0.94,3.72340425531915
"045",191.162590098074,1028.60215053763,837.43956043956,0.96,2.60416666666666
"046",65.0540293040293,422.845238095238,357.791208791209,0.97,7.73195876288659
"047",695.114449960805,1341.39534883721,646.280898876405,0.93,3.76344086021505
"048",151.272453371593,1037.71951219512,886.447058823529,0.955,10.9947643979058
"049",52.1170182841068,567.139240506329,515.022222222222,0.96,11.9791666666667
"050",36.73564122738,488.219512195122,451.483870967742,0.965,7.2538860103627
"051",117.867709437964,673.682926829268,555.815217391304,0.93,4.3010752688172
"052",360.572446236559,1183.7875,823.215053763441,0.97,8.76288659793815
"053",326.660153256705,1112.52222222222,785.862068965517,0.92,2.17391304347826
"054",388.521120689655,1685.7625,1297.24137931034,0.945,11.1111111111111
"055",232.747252747253,1222.30769230769,989.56043956044,0.955,3.66492146596858
"056",77.0454545454545,660.545454545455,583.5,0.975,7.69230769230769
"057",80.4930434782609,722.08,641.586956521739,0.925,8.1081081081081
"058",55.6621549182526,520.69512195122,465.032967032967,0.92,4.34782608695652
"059",158.126636982714,938.072289156627,779.945652173913,0.955,7.32984293193717
"060",-19.9565217391304,687.152173913043,707.108695652174,0.98,4.59183673469388
"061",96.246109839817,859.79347826087,763.547368421053,0.97,1.54639175257731
"062",82.7268518518518,487.851851851852,405.125,0.925,7.56756756756757
"063",33.9169325298358,632.637362637363,598.720430107527,0.98,4.59183673469388
"064",191.816784869976,925.444444444444,733.627659574468,0.955,2.09424083769634
"065",249.904519331243,1000.30681818182,750.402298850575,0.955,6.80628272251309
"066",67.4247961340984,546.948051948052,479.523255813953,0.915,9.2896174863388
"067",77.2951406649616,528.164705882353,450.869565217391,0.94,4.78723404255319
"068",205.557277541005,792.298850574713,586.741573033708,0.95,5.78947368421052
"069",48.8492424242424,469.715909090909,420.866666666667,0.955,4.71204188481675
"070",318.438220551379,1217.5119047619,899.073684210526,0.96,4.6875
"071",116.837643255951,551.313253012048,434.475609756098,0.89,5.0561797752809
"072",25.132486631016,618.552941176471,593.420454545455,0.97,8.76288659793815
"073",120.281871345029,643.955555555556,523.673684210526,0.98,3.57142857142857
"074",251.744444444445,1143.43333333333,891.688888888889,0.96,5.20833333333334
"075",125.241049273307,1138.20879120879,1012.96774193548,0.95,1.05263157894737
"076",344.168417104276,1196.52325581395,852.354838709677,0.955,4.71204188481675
"077",224.665750915751,873.369047619048,648.703296703297,0.92,2.71739130434783
"078",-2.89247311827955,715.731182795699,718.623655913978,0.965,2.59067357512953
