"Participant","mean_latency_congruent","mean_latency_noncongruent","mean_latency_control","InhibitionCost","percentage_resp_correct","percentage_excluded_data","block"
"001",519.607142857143,571.333333333333,600.538461538462,51.7261904761905,0.988095238095238,6.02409638554217,"test"
"002",688.888888888889,699.28,598.923076923077,10.3911111111111,1,7.14285714285714,"test"
"003",802.464285714286,990.12,904.37037037037,187.655714285714,0.976190476190476,2.4390243902439,"test"
"004",621.36,640.6,652.304347826087,19.24,0.976190476190476,10.9756097560976,"test"
"005",594.16,661.136363636364,639.928571428571,66.9763636363637,0.952380952380952,6.25,"test"
"006",571.4,589.884615384615,609.76,18.4846153846154,0.964285714285714,6.17283950617284,"test"
"007",632.321428571429,814.571428571429,582,182.25,0.94047619047619,5.06329113924051,"test"
"008",607,682.692307692308,644.074074074074,75.6923076923077,0.964285714285714,4.93827160493827,"test"
"009",575.730769230769,633.142857142857,567.347826086957,57.4120879120878,0.928571428571429,10.2564102564103,"test"
"010",578.25,729.071428571429,628.481481481482,150.821428571429,0.988095238095238,0,"test"
"011",817.12,901.217391304348,728.461538461538,84.0973913043479,0.952380952380952,7.5,"test"
"012",821.444444444444,968.478260869565,901.592592592593,147.033816425121,0.988095238095238,7.2289156626506,"test"
"013",566,688.681818181818,575.434782608696,122.681818181818,0.904761904761905,5.26315789473685,"test"
"014",641.153846153846,730.269230769231,672.75,89.1153846153845,0.988095238095238,3.6144578313253,"test"
"015",738.444444444444,854.086956521739,731.730769230769,115.642512077295,0.976190476190476,7.3170731707317,"test"
"016",645.571428571429,756.291666666667,741.461538461538,110.720238095238,1,7.14285714285714,"test"
"017",714,752.48,704,38.48,0.988095238095238,6.02409638554217,"test"
"018",608.04,650.92,597.115384615385,42.88,0.952380952380952,5,"test"
"019",952.5,1097.57692307692,1052.57692307692,145.076923076923,0.976190476190476,4.87804878048781,"test"
"020",835.92,1111.57692307692,942.916666666667,275.656923076923,0.94047619047619,5.06329113924051,"test"
"021",586.111111111111,680.230769230769,656,94.1196581196582,0.964285714285714,3.70370370370371,"test"
"022",594.416666666667,614.074074074074,602.64,19.6574074074074,1,9.52380952380952,"test"
"023",1078.75,1137.08695652174,1343.60714285714,58.3369565217392,0.94047619047619,0,"test"
"024",684.333333333333,820.814814814815,629.692307692308,136.481481481481,0.976190476190476,2.4390243902439,"test"
"025",675.541666666667,684.36,669.086956521739,8.81833333333338,0.976190476190476,12.1951219512195,"test"
"026",795.296296296296,729.68,738.375,-65.6162962962964,0.94047619047619,3.79746835443038,"test"
"027",619.958333333333,736.708333333333,679.909090909091,116.75,0.916666666666667,9.09090909090909,"test"
"028",582.722222222222,606.590909090909,579.814814814815,23.868686868687,1,20.2380952380952,"test"
"029",946.296296296296,1184.5,988.111111111111,238.203703703704,0.988095238095238,3.6144578313253,"test"
"030",757.346153846154,1034.08333333333,752.230769230769,276.737179487179,0.964285714285714,6.17283950617284,"test"
"031",663.962962962963,674.863636363636,687.148148148148,10.9006734006734,0.916666666666667,1.2987012987013,"test"
"032",819.259259259259,969.481481481482,739.892857142857,150.222222222222,0.988095238095238,1.20481927710844,"test"
"033",613.37037037037,667.407407407407,602.076923076923,54.0370370370371,0.976190476190476,2.4390243902439,"test"
"034",951.703703703704,1170,860.333333333333,218.296296296296,0.952380952380952,2.5,"test"
"035",835.68,880.961538461538,762.807692307692,45.2815384615385,0.964285714285714,4.93827160493827,"test"
"036",778.68,849.142857142857,870.952380952381,70.4628571428572,0.952380952380952,16.25,"test"
"037",754.846153846154,933.111111111111,746.08,178.264957264957,0.964285714285714,3.70370370370371,"test"
"038",626.62962962963,657.56,669.074074074074,30.9303703703703,0.952380952380952,1.25,"test"
"039",554.821428571429,587.28,622.375,32.4585714285714,0.964285714285714,4.93827160493827,"test"
"040",600,787.481481481482,616.678571428571,187.481481481482,1,2.38095238095238,"test"
"041",573.321428571429,627.4,554,54.0785714285714,1,4.76190476190477,"test"
"042",743.321428571429,808.846153846154,784.607142857143,65.5247252747253,1,2.38095238095238,"test"
"043",726.56,834.083333333333,787.96,107.523333333333,1,11.9047619047619,"test"
"044",938.814814814815,1143.04545454545,817.153846153846,204.23063973064,0.976190476190476,8.53658536585366,"test"
"045",643.555555555556,802,649.846153846154,158.444444444444,0.988095238095238,4.81927710843374,"test"
"046",626.407407407407,653.785714285714,728.821428571429,27.3783068783069,1,1.19047619047619,"test"
"047",645.153846153846,714.565217391304,611.92,69.4113712374582,0.964285714285714,8.64197530864198,"test"
"048",1053.85714285714,1387,757.230769230769,333.142857142857,0.875,19.047619047619,"test"
"049",591.653846153846,604.5,587.037037037037,12.8461538461538,0.964285714285714,7.40740740740741,"test"
"050",583.807692307692,705.807692307692,600.291666666667,122,0.988095238095238,8.43373493975904,"test"
"051",754,962.136363636364,781.96,208.136363636364,0.916666666666667,5.1948051948052,"test"
"052",787,946.68,836.782608695652,159.68,0.964285714285714,9.87654320987654,"test"
"053",658.111111111111,769.583333333333,678.28,111.472222222222,0.952380952380952,5,"test"
"054",1056.33333333333,1239.21052631579,1102.46153846154,182.877192982456,0.928571428571429,7.69230769230769,"test"
"055",674.142857142857,958.583333333333,833.307692307692,284.440476190476,0.928571428571429,8.97435897435898,"test"
"056",598.62962962963,624.954545454545,590.615384615385,26.3249158249158,0.988095238095238,9.63855421686747,"test"
"057",563.681818181818,648.772727272727,539,85.0909090909091,0.904761904761905,11.8421052631579,"test"
"058",533.166666666667,587.961538461538,565.357142857143,54.7948717948718,0.952380952380952,2.5,"test"
"059",841.407407407407,1035.83333333333,834.814814814815,194.425925925926,0.976190476190476,4.87804878048781,"test"
"060",725.75,877.535714285714,764.035714285714,151.785714285714,1,0,"test"
"061",699.481481481482,638.32,605.269230769231,-61.1614814814815,0.976190476190476,4.87804878048781,"test"
"062",538.88,606.9,614.208333333333,68.02,0.928571428571429,11.5384615384615,"test"
"063",903.846153846154,936.307692307692,843.538461538462,32.4615384615385,0.952380952380952,2.5,"test"
"064",711.375,667.2,788.75,-44.175,0.904761904761905,10.5263157894737,"test"
"065",774.12,849.75,812.72,75.63,0.94047619047619,6.32911392405063,"test"
"066",681.869565217391,714.25,676.333333333333,32.3804347826087,0.904761904761905,6.57894736842105,"test"
"067",595,635.238095238095,581.875,40.2380952380952,0.952380952380952,10,"test"
"068",551.8,654.653846153846,560.961538461538,102.853846153846,0.964285714285714,4.93827160493827,"test"
"069",622.962962962963,753.782608695652,643.888888888889,130.819645732689,0.952380952380952,3.75,"test"
"070",762,874.5,817.777777777778,112.5,1,3.57142857142857,"test"
"071",678.851851851852,809.041666666667,607.666666666667,130.189814814815,0.94047619047619,1.26582278481012,"test"
"072",619.962962962963,709.086956521739,755.64,89.1239935587762,0.964285714285714,7.40740740740741,"test"
"073",606.035714285714,833.041666666667,625.592592592593,227.005952380952,0.976190476190476,3.65853658536586,"test"
"074",930.925925925926,1365.58333333333,813.678571428571,434.657407407407,0.976190476190476,3.65853658536586,"test"
"075",595.4,646.25,656.208333333333,50.85,0.94047619047619,7.59493670886076,"test"
"076",1022.96153846154,1308.44444444444,1030.64,285.482905982906,0.976190476190476,4.87804878048781,"test"
"077",758.307692307692,989.28,789.428571428571,230.972307692308,0.964285714285714,2.46913580246914,"test"
"078",569.4,672.130434782609,589.44,102.730434782609,0.976190476190476,10.9756097560976,"test"
"079",695.666666666667,770.25,751.153846153846,74.5833333333334,0.964285714285714,8.64197530864198,"test"
"080",653.88,681.272727272727,585.423076923077,27.3927272727273,0.952380952380952,8.75,"test"
"081",569.88,569.185185185185,543.769230769231,-0.694814814814777,0.976190476190476,4.87804878048781,"test"
"082",601.357142857143,652.961538461538,597.666666666667,51.6043956043956,0.988095238095238,2.40963855421686,"test"
"083",689.84,844.428571428571,881.72,154.588571428571,0.952380952380952,11.25,"test"
"084",563.16,567.291666666667,555.035714285714,4.13166666666666,0.964285714285714,4.93827160493827,"test"
"085",702.961538461538,741.807692307692,688.555555555556,38.8461538461538,1,5.95238095238095,"test"
"086",658.4,747.55,623.8,89.15,0.928571428571429,10.2564102564103,"test"
