"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_multi_01","SF_multi_02","SF_multi_03","SF_multi_04","SF_multi_05"
1,"man",23,"french",16,9,"right-handed",1,443.057471264368,139.076923076923,34.4219237552571,0.916666666666667,0.964285714285714,0.916666666666667,228.740740740741,51.7261904761905,104.550933786078,1985,-405,550,1090,750,1590,1985,1895,1425,1945
2,"woman",25,"french",17,3,"right-handed",1,584.103448275862,189.736772486773,72.3854903943376,0.933333333333333,0.785714285714286,0.75,200.346153846154,10.3911111111111,266.701960784314,-270,-1460,400,540,250,-270,-1090,-870,-410,-810
3,"man",22,"french",15,8,"right-handed",1,429.310344827586,183.602809706258,91.0079900124844,0.958333333333333,0.892857142857143,0.916666666666667,210.490566037736,187.655714285714,457.957627118644,2550,-100,550,1100,1000,1540,1600,1640,1940,2550
4,"man",23,"french",18,6,"right-handed",1,414.752808988764,123.634738186462,101.120531400966,0.941666666666667,0.928571428571429,0.5,159.148148148148,19.24,221,3990,-100,850,990,2250,1580,1860,2450,2900,3990
5,"woman",31,"french",20,3,"right-handed",1,519.784090909091,52.8940886699507,49.7932340009771,0.875,1,0.75,206,66.9763636363637,266.822580645161,130,-1330,250,710,500,-125,-960,130,-420,65
6,"man",24,"french",18,3.5,"right-handed",1,413.722222222222,-5.15581098339715,5.06871035940804,0.883333333333333,0.678571428571429,0.833333333333333,230.735849056604,18.4846153846154,371.316263632053,2270,-120,500,640,1250,1240,1470,1630,2270,1320
7,"man",27,"french",15,8,"right-handed",1,440.797752808989,231.185185185185,76.8831395348837,0.958333333333333,0.928571428571429,1,212.074074074074,182.25,464.848584595128,3110,-570,900,1030,1750,2130,2595,2965,3015,3110
8,"man",22,"french",17,5,"right-handed",1,461.166666666667,41.88,23.6152906692721,0.933333333333333,1,0.916666666666667,208.222222222222,75.6923076923077,116.580575317043,1175,-525,350,850,500,280,815,795,845,1175
9,"man",20,"french",15,8,"right-handed",1,412.133333333333,50.1909937888198,59.825956937799,0.983333333333333,0.821428571428571,0.75,272.471698113208,57.4120879120878,156.260327868853,3310,-150,1000,960,1500,2115,2460,2190,3310,2795
11,"woman",26,"french",17,3,"right-handed",1,549.701149425287,230.590909090909,305.689873417722,0.75,0.607142857142857,0.416666666666667,291.245283018868,84.0973913043479,446.406026365349,-1295,-2165,-200,570,500,-1605,-1295,-1355,-1750,-1300
12,"woman",23,"french",17,3,"right-handed",1,446.730337078652,255.781746031746,39.4212880143114,0.9,0.857142857142857,0.833333333333333,208.518518518519,147.033816425121,502.127213114754,1620,-520,400,990,750,-410,955,1240,1330,1620
13,"man",21,"french",14,6,"right-handed",1,406.738636363636,110.814814814815,215.864980449658,0.9,0.857142857142857,0.416666666666667,237.074074074074,122.681818181818,174.090136054422,1665,-185,600,1000,250,1380,190,1495,935,1665
14,"man",23,"french",17,5.5,"right-handed",1,404.658536585366,65.5057471264367,45.5782392894463,0.916666666666667,0.678571428571429,0.833333333333333,195.301886792453,89.1153846153845,304.895457033388,2840,-150,800,440,1750,1185,1815,2070,2095,2840
15,"man",20,"french",14,4.5,"left-handed",1,540.277777777778,43.6441379310345,52.8206851971559,0.95,0.785714285714286,1,151.037037037037,115.642512077295,358.665817770232,3680,-100,700,1080,2000,2050,1980,2870,3340,3680
18,"woman",24,"french",17,3,"right-handed",1,453.103448275862,109.594861660079,38.7519415967692,0.925,0.857142857142857,0.916666666666667,300.358490566038,42.88,87.8333333333334,585,-465,-100,900,250,-620,-410,250,585,-140
19,"man",20,"french",14,6,"right-handed",1,493.966292134831,350.535714285714,217.741935483871,0.9,0.821428571428571,0.833333333333333,199.740740740741,145.076923076923,320.129032258065,1405,-505,50,860,1000,350,1405,425,1235,440
20,"man",20,"french",15,3,"left-handed",1,433.965517241379,324.818646232439,44.9178571428571,0.85,0.642857142857143,0.75,144.814814814815,275.656923076923,96.8722548716363,140,-1100,100,390,750,-1605,-320,-1035,-550,140
21,"man",26,"french",14,9,"right-handed",1,440.730337078652,212.510344827586,23.5475177304965,0.916666666666667,0.857142857142857,0.833333333333333,173.111111111111,94.1196581196582,406.330367074527,2190,-100,750,1040,500,1745,1530,1940,2190,2080
