"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_multi_01","SF_multi_02","SF_multi_03","SF_multi_04","SF_multi_05","keeptrack_asin","dualnback_asin","lettermemory_asin","zscore_antisaccade","zscore_categoryswitch","zscore_colorshape","zscore_dualnback","zscore_keeptrack","zscore_lettermemory","zscore_stopsignal","zscore_stroop","zscore_numberletter","zscore_SF","zscore_inhibition","zscore_WM","zscore_shifting","zscore_EF"
1,"man",23,"french",16,9,"right-handed",1,443.057471264368,139.076923076923,34.4219237552571,0.916666666666667,0.964285714285714,0.916666666666667,228.740740740741,51.7261904761905,104.550933786078,1985,-405,550,1090,750,1590,1985,1895,1425,1945,1.38067072344843,1.30738282468938,1.27795355506632,0.21534524704899,0.427753281501143,0.817798814160575,0.461165821794085,1.38109750236034,0.995267081096911,-0.450252535773917,0.504631174466395,1.28910494023406,0.395423961260679,0.0899079619138227,0.945843468417111,0.844885678631927,0.626879036320953
2,"woman",25,"french",17,3,"right-handed",1,584.103448275862,189.736772486773,72.3854903943376,0.933333333333333,0.785714285714286,0.75,200.346153846154,10.3911111111111,266.701960784314,-270,-1460,400,540,250,-270,-1090,-870,-410,-810,1.08952095285255,1.34334645746675,1.0471975511966,-2.04486677432863,-0.0122080766370426,0.472450765540486,0.704768897058709,-0.213322384918712,0.120638434072353,0.174145379254698,1.01123397229858,0.575742509465227,-1.41553968791938,-0.286495807591782,0.204028315404117,0.345328399456223,0.0876203024228528
3,"man",22,"french",15,8,"right-handed",1,429.310344827586,183.602809706258,91.0079900124844,0.958333333333333,0.892857142857143,0.916666666666667,210.490566037736,187.655714285714,457.957627118644,2550,-100,550,1100,1000,1540,1600,1640,1940,2550,1.23732315454306,1.41066464910998,1.27795355506632,0.435638098289127,0.0410630370184934,0.303045083384824,1.07017350995566,0.743329547448719,0.995267081096911,-0.0489305839607471,-1.16132128353416,-0.26566201050772,0.849168733671649,-0.258204589735259,0.936256712833763,0.0261487032985325,0.234733608799012
4,"man",23,"french",18,6,"right-handed",1,414.752808988764,123.634738186462,101.120531400966,0.941666666666667,0.928571428571429,0.5,159.148148148148,19.24,221,3990,-100,850,990,2250,1580,1860,2450,2900,3990,1.30024656381632,1.36346742528384,0.785398163397448,0.668917474289051,0.561862733388049,0.211053030364523,0.826570434691035,1.06221352490453,-1.19130453646448,1.0800909017823,0.90278197613272,0.776802363599576,2.00561558725005,0.883930117401357,0.232493141043695,0.516572709117383,0.544331989187478
5,"woman",31,"french",20,3,"right-handed",1,519.784090909091,52.8940886699507,49.7932340009771,0.875,1,0.75,206,66.9763636363637,266.822580645161,130,-1330,250,710,500,-125,-960,130,-420,65,1.5707963267949,1.23246031474537,1.0471975511966,-1.01417176403555,1.17621813711355,0.677968643603609,-0.147841866367502,1.69998147981615,0.120638434072353,0.0498171133264138,0.317725028184842,0.575211858018081,-1.09430445081427,-0.215543207508098,0.557592682507,0.809799546245081,0.383949673747994
6,"man",24,"french",18,3.5,"right-handed",1,413.722222222222,-5.15581098339715,5.06871035940804,0.883333333333333,0.678571428571429,0.833333333333333,230.735849056604,18.4846153846154,371.316263632053,2270,-120,500,640,1250,1240,1470,1630,2270,1320,0.968001774042632,1.24623145923122,1.15026199151093,0.685432263637642,1.6803592466666,1.08481995744141,-0.026040328735191,-1.16997431728614,0.557952757584629,-0.494125034335204,0.912039971169172,0.115505440640112,0.624304067698071,0.367782400157203,-0.212687296145568,0.960228214916043,0.371774439642559
7,"man",27,"french",15,8,"right-handed",1,440.797752808989,231.185185185185,76.8831395348837,0.958333333333333,0.928571428571429,1,212.074074074074,182.25,464.848584595128,3110,-570,900,1030,1750,2130,2595,2965,3015,3110,1.30024656381632,1.41066464910998,1.5707963267949,0.251556438080411,-0.372171640601362,0.431536423407351,1.07017350995566,1.06221352490453,1.43258140460919,-0.0837519786156908,-1.09506884073039,-0.295977884953602,1.2988980656188,-0.309088127088556,1.18832281315646,-0.0788710340492044,0.266787884006233
8,"man",22,"french",17,5,"right-handed",1,461.166666666667,41.88,23.6152906692721,0.933333333333333,1,0.916666666666667,208.222222222222,75.6923076923077,116.580575317043,1175,-525,350,850,500,280,815,795,845,1175,1.5707963267949,1.34334645746675,1.27795355506632,-0.0748482204500299,1.27187127201892,0.916104900200351,0.704768897058709,1.69998147981615,0.995267081096911,0.000950372371989513,0.210902404101039,1.23618209119222,-0.25507739387717,0.0456681853409994,1.13333915265726,1.14138608780383,0.773464475267362
9,"man",20,"french",15,8,"right-handed",1,412.133333333333,50.1909937888198,59.825956937799,0.983333333333333,0.821428571428571,0.75,272.471698113208,57.4120879120878,156.260327868853,3310,-150,1000,960,1500,2115,2460,2190,3310,2795,1.13450940007873,1.5707963267949,1.0471975511966,0.710893647530978,1.19969347920266,0.586702685335854,1.43557812285261,0.105561592537092,0.120638434072353,-1.41189775029821,0.434944806532481,1.06161616178264,1.45951568417136,-0.088686432078249,0.553926049820684,0.949337442107051,0.471525686616495
11,"woman",26,"french",17,3,"right-handed",1,549.701149425287,230.590909090909,305.689873417722,0.75,0.607142857142857,0.416666666666667,291.245283018868,84.0973913043479,446.406026365349,-1295,-2165,-200,570,500,-1605,-1295,-1355,-1750,-1300,0.893378412739926,1.06200468763857,0.701674123787604,-1.49358207218673,-0.367010580697069,-1.64987915613495,-1.97486493085225,-1.80774227219777,-1.62861885997676,-1.8247295099651,0.107889686107558,-0.214842239919827,-2.23870498300123,-1.07014063201476,-1.80374202100893,-0.74391065891728,-1.20593110398032
